"filename", "language", "Markdown", "YAML", "Dart", "JSON", "HTML", "Properties", "Groovy", "XML", "C++", "Swift", "comment", "blank", "total"
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\README.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 32
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 3, 14, 81
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\app\google-services.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 54
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 11, 7, 54
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 5, 33
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\ios\ImageNotification\NotificationService.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 2, 6, 28
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
