Date : 2022-08-04 19:47:46
Directory : c:\Users\jarry\Dev\Flutter\good-will-punting-v2
Total : 102 files,  15341 codes, 252 comments, 885 blanks, all 16478 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         76 |     14,551 |        143 |        786 |     15,480 |
| JSON       |          5 |        374 |          0 |          3 |        377 |
| XML        |          9 |        131 |         44 |         16 |        191 |
| Groovy     |          3 |        111 |          3 |         25 |        139 |
| YAML       |          1 |         69 |         44 |         17 |        130 |
| HTML       |          1 |         41 |         15 |         11 |         67 |
| Swift      |          2 |         32 |          2 |          9 |         43 |
| Markdown   |          2 |         22 |          0 |         15 |         37 |
| Properties |          2 |          9 |          1 |          2 |         12 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        102 |     15,341 |        252 |        885 |     16,478 |
| android                                                                                                       |         13 |        244 |         46 |         41 |        331 |
| android\app                                                                                                   |          9 |        188 |         45 |         28 |        261 |
| android\app\src                                                                                               |          7 |         70 |         42 |         14 |        126 |
| android\app\src\debug                                                                                         |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                          |          5 |         62 |         36 |         12 |        110 |
| android\app\src\main\res                                                                                      |          4 |         26 |         25 |          5 |         56 |
| android\app\src\main\res\drawable                                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                               |          2 |         13 |          9 |          2 |         24 |
| android\app\src\main\res\values-night                                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                       |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                        |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                           |          8 |        242 |          4 |         16 |        262 |
| ios\ImageNotification                                                                                         |          1 |         20 |          2 |          6 |         28 |
| ios\Runner                                                                                                    |          7 |        222 |          2 |         10 |        234 |
| ios\Runner\Assets.xcassets                                                                                    |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                 |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                               |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                         |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                           |         76 |     14,695 |        136 |        782 |     15,613 |
| lib\auth                                                                                                      |          7 |        274 |         32 |         54 |        360 |
| lib\auth_page                                                                                                 |          1 |      1,052 |          1 |         10 |      1,063 |
| lib\backend                                                                                                   |         16 |      2,879 |         36 |        363 |      3,278 |
| lib\backend\firebase_storage                                                                                  |          1 |          9 |          0 |          3 |         12 |
| lib\backend\schema                                                                                            |         14 |      2,557 |         30 |        332 |      2,919 |
| lib\club_check                                                                                                |          1 |         53 |          1 |          6 |         60 |
| lib\club_landing                                                                                              |          1 |        821 |          0 |         12 |        833 |
| lib\club_management                                                                                           |          1 |        233 |          1 |          5 |        239 |
| lib\components                                                                                                |         12 |      1,610 |          2 |         64 |      1,676 |
| lib\custom_code                                                                                               |          8 |        158 |         20 |         24 |        202 |
| lib\custom_code\actions                                                                                       |          8 |        158 |         20 |         24 |        202 |
| lib\dashboard                                                                                                 |          1 |        888 |          5 |          5 |        898 |
| lib\donate                                                                                                    |          1 |        468 |          1 |          8 |        477 |
| lib\donation_view_edit                                                                                        |          1 |        571 |          2 |         14 |        587 |
| lib\flutter_flow                                                                                              |         10 |        975 |          3 |        111 |      1,089 |
| lib\leaderboards                                                                                              |          1 |        464 |          4 |          5 |        473 |
| lib\manage_donations                                                                                          |          1 |        315 |          3 |          5 |        323 |
| lib\manage_punts                                                                                              |          1 |        488 |          7 |          5 |        500 |
| lib\monitor_fees                                                                                              |          1 |        166 |          2 |          5 |        173 |
| lib\profile                                                                                                   |          1 |        466 |          2 |          5 |        473 |
| lib\punt                                                                                                      |          1 |        342 |          2 |          7 |        351 |
| lib\punt_view_edit                                                                                            |          1 |        407 |          1 |         13 |        421 |
| lib\punt_view_place                                                                                           |          1 |        423 |          1 |          7 |        431 |
| lib\season                                                                                                    |          1 |        532 |          1 |          8 |        541 |
| lib\team_edit                                                                                                 |          1 |        262 |          1 |          6 |        269 |
| lib\team_members_edit                                                                                         |          1 |        145 |          1 |          6 |        152 |
| lib\teams                                                                                                     |          1 |        203 |          2 |          5 |        210 |
| lib\user_history                                                                                              |          1 |        371 |          3 |          5 |        379 |
| test                                                                                                          |          1 |          8 |          7 |          4 |         19 |
| web                                                                                                           |          2 |         64 |         15 |         12 |         91 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\jarry\Dev\Flutter\good-will-punting-v2\README.md                                                     | Markdown   |         19 |          0 |         13 |         32 |
